country_code,country_name,year,GDP (current US$),"Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)","Population, total","Unemployment, total (% of total labor force) (modeled ILO estimate)",gdp_per_capita,gdp_annual_growth_pct
IN,India,1972,71464700666.9869,6.44209746158235,,570482142.0,,125.27070596188248,6.107216849802688
IN,India,1973,85517673172.5513,16.9408159791736,,583465598.0,,146.56849258240467,19.66421516413932
IN,India,1974,99526597933.6331,28.5987340775089,,597041391.0,,166.6996617553323,16.381321242002954
IN,India,1975,98473832017.3242,5.74843029767442,,611309535.0,,161.0866940220787,-1.0577734376200687
IN,India,1976,102716451979.68,-7.63394763392881,,625861883.0,,164.11999958732108,4.308372971216756
IN,India,1977,121486641441.309,8.30747009171166,,640801103.0,,189.58556855247642,18.27379071206845
IN,India,1978,137302319828.995,2.52304875695179,,655728229.0,,209.38906357346252,13.018450588517293
IN,India,1979,152995442497.709,6.27568336762338,,671155747.0,,227.95817987342514,11.429612178628323
IN,India,1980,186328579302.068,11.3460734795095,,687354025.0,,271.08094595367794,21.787012907170823
IN,India,1981,193491368445.573,13.112546897642,,703696250.0,,274.9643307685283,3.8441709641831245
IN,India,1982,200715624830.902,7.89074279377487,,720313473.0,,278.6503825826704,3.733632380279084
IN,India,1983,218262146413.158,11.8680812986734,,737372681.0,,295.99977329938264,8.741980898118173
IN,India,1984,212157645177.652,8.31890711860072,,754875449.0,,281.0498678407171,-2.796866674237919
IN,India,1985,232511554840.372,5.55642423236554,,772647793.0,,300.9282585763783,9.59376676983592
IN,India,1986,248985994040.59,8.72972072702581,,790689978.0,,314.8971164025428,7.085428167872476
IN,India,1987,279033584092.223,8.80112581251833,,808931270.0,,344.9410282930749,12.067984051638913
IN,India,1988,296589670895.932,9.38347186185336,,827342990.0,,358.48453964169323,6.29174687370484
IN,India,1989,296042052944.66,7.07428002942296,,846039529.0,,349.9151550218642,-0.18463824098047255
IN,India,1990,320979026420.035,8.97123250273255,,864972221.0,,371.0859362037651,8.423456474285619
IN,India,1991,270105341879.226,13.8702461773683,,883927600.0,7.641,305.5740559285919,-15.849535437943342
IN,India,1992,288208070278.013,11.7878170418134,,902957070.0,7.649,319.1824726263155,6.7020993634703485
IN,India,1993,279295648982.529,6.32689048779867,,922118387.0,7.662,302.88480624617347,-3.0923566043403516
IN,India,1994,327274843459.429,10.2479355556119,,941163767.0,7.593,347.73421473994017,17.178640144122447
IN,India,1995,360281909643.489,10.2248861637545,,960301044.0,7.57,375.17600537304946,10.085427231485866
IN,India,1996,392896866204.516,8.97715233826453,,979678458.0,7.537,401.04675467357885,9.052621208014733
IN,India,1997,415867563592.829,7.16425211462721,,999133762.0,7.574,416.2281162037531,5.846495445539124
IN,India,1998,421351317224.941,13.2308389767977,,1018665080.0,7.596,413.6308640568507,1.31862980241495
IN,India,1999,458821052615.79,4.6698203803759,,1038225823.0,7.583,441.9279914363968,8.89275382776258
IN,India,2000,468395521654.458,4.0094359104519,,1057922733.0,7.589,442.75021893726336,2.0867545166210144
IN,India,2001,485440139204.171,3.77929312235637,,1077898575.0,7.611,450.35790051412863,3.6389369158587037
IN,India,2002,514939140318.756,4.29715203929562,,1097600380.0,7.681,469.1499289739276,6.076753595808038
IN,India,2003,607700687237.318,3.80585899528853,,1116803006.0,7.633,544.1431335450023,18.014079656314543
IN,India,2004,709152728830.775,3.76725173477517,,1135991513.0,7.598,624.2588265100666,16.694409554590184
IN,India,2005,820383763511.445,4.24634362031924,,1154676322.0,7.551,710.4880804089486,15.685060517790506
IN,India,2006,940259888787.721,5.79652337561634,,1172878890.0,7.553,801.6683536590218,14.61220109515291
IN,India,2007,1216736438834.96,6.37288135593231,,1190676021.0,7.562,1021.8870770682632,29.40426932427169
IN,India,2008,1198895139005.92,8.34926704907575,,1207930964.0,7.629,992.5195849238285,-1.4663241158556328
IN,India,2009,1341888016994.9,10.8823529411764,,1225524753.0,7.636,1094.9497459843635,11.92705461359569
IN,India,2010,1675615519484.96,11.9893899204245,,1243481564.0,7.631,1347.5193907136688,24.86999647239032
IN,India,2011,1823051829894.55,8.9117933648336,,1261224954.0,7.609,1445.4612748603688,8.798934403216085
IN,India,2012,1827637590410.41,9.47899691419793,,1278674502.0,7.645,1429.3219952003155,0.2515430686425013
IN,India,2013,1856721507621.58,10.0178784746104,,1295829511.0,7.678,1432.8439751219557,1.5913394079752452
IN,India,2014,2039126479154.52,6.66565671867899,,1312277191.0,7.656,1553.8839607511854,9.824035041560798
IN,India,2015,2103588360044.94,4.90697344127249,,1328024498.0,7.629,1583.9981590798484,3.161249758138962
IN,India,2016,2294796885663.16,4.94821634062134,,1343944296.0,7.611,1707.5089291224315,9.089636035737293
IN,India,2017,2651474262755.45,3.32817337461305,,1359657400.0,7.626,1950.1046828086621,15.542873503125577
IN,India,2018,2702929641648.74,3.93882646691643,,1374659064.0,7.652,1966.2545517167887,1.9406327874296192
IN,India,2019,2835606256558.19,3.72950573539123,,1389030312.0,6.51,2041.42863698585,4.908622587324141
